Top queries,Last 3 months (2023) Clicks,Last 3 months (2022) Clicks,Last 3 months (2023) Impressions,Last 3 months (2022) Impressions,Last 3 months (2023) CTR,Last 3 months (2022) CTR,Last 3 months (2023) Position,Last 3 months (2022) Position
cream city,280,228,3960,1930,7.07%,11.81%,7.25,9.89
cream city cookeville,170,208,576,806,29.51%,25.81%,1,1.02
cream city ice cream,136,245,556,2786,24.46%,8.79%,1.67,1.61
cream city cookeville tn,63,14,173,68,36.42%,20.59%,1,1.01
ice cream near me,46,56,1218,1166,3.78%,4.8%,10.75,8.22
ice cream cookeville tn,39,29,340,339,11.47%,8.55%,1.76,1.81
ice cream city,28,14,614,489,4.56%,2.86%,5.71,6.85
ice cream cookeville,22,22,350,288,6.29%,7.64%,1.79,1.77
cream city ice cream cookeville tn,22,9,56,98,39.29%,9.18%,1,1.02
cream city ice cream & coffee house,19,10,86,33,22.09%,30.3%,1.33,1.33
cream city menu,17,29,104,67,16.35%,43.28%,7.59,4.31
cream city ice cream menu,17,0,27,0,62.96%,0%,1.85,0
cookeville ice cream,11,5,104,90,10.58%,5.56%,1.79,1.84
coffee near me,7,4,392,276,1.79%,1.45%,8.19,10.42
creamery cookeville,7,0,32,0,21.88%,0%,6.25,0
ice cream in cookeville tn,5,0,90,62,5.56%,0%,1.77,1.9
ice cream,5,4,35,45,14.29%,8.89%,3.43,6.67
creme city,4,9,70,40,5.71%,22.5%,5.5,1.85
cream coty,4,2,58,32,6.9%,6.25%,6.24,2.25
ice cream shops near me,4,1,58,30,6.9%,3.33%,12.97,3.1
creamcity,4,7,36,67,11.11%,10.45%,8.19,10.84
cream city creamery,4,8,29,25,13.79%,32%,4,5.44
coffee cookeville tn,3,0,73,95,4.11%,0%,10.78,9.63
dessert near me,3,7,28,17,10.71%,41.18%,2.82,1.18
cream city coffee,3,1,28,9,10.71%,11.11%,8.61,9.44
milkshakes near me,3,0,6,3,50%,0%,1,1
coffee shops near me,2,2,184,92,1.09%,2.17%,7.88,10.7
coffee shop cookeville tn,2,2,81,91,2.47%,2.2%,10.62,11.04
things to do in cookeville tn,2,0,79,0,2.53%,0%,2.48,0
cream city hours,2,0,60,58,3.33%,0%,2.33,2.9
cream cuty,2,2,47,30,4.26%,6.67%,4.19,1.87
the creamery near me,2,0,40,0,5%,0%,62.55,0
cream ciry,2,1,30,13,6.67%,7.69%,6.83,2.15
"cream city ice cream & coffee house cookeville, tn",2,0,24,0,8.33%,0%,1,0
city cream,2,0,24,54,8.33%,0%,33.08,58.78
ice cream places in cookeville tn,2,1,12,23,16.67%,4.35%,2.75,5
best ice cream near me,2,0,10,6,20%,0%,7.8,5.83
